city,product_category,value
Osaka,Creative & Design Tools,73
Osaka,Data Analysis & Management,20
Osaka,Educational Tools,58
Osaka,Software Development Tools,95
Osaka,Technology & Gadgets,52
Tokyo,Creative & Design Tools,68
Tokyo,Data Analysis & Management,15
Tokyo,Educational Tools,47
Tokyo,Software Development Tools,127
Tokyo,Technology & Gadgets,51
Yokohama,Creative & Design Tools,60
Yokohama,Data Analysis & Management,13
Yokohama,Educational Tools,44
Yokohama,Software Development Tools,95
Yokohama,Technology & Gadgets,45
